stable_path,operation_class,selected_in_top10_union,predicted_time_ns,predicted_share_of_e2e,predicted_rank,predicted_evidence_grade,predicted_generation_stage,predicted_uncertainty_interval_ns,predicted_method,observed_time_ns,observed_share_of_e2e,observed_rank,observed_evidence_grade,observed_generation_stage,observed_uncertainty_interval_ns,observed_method,absolute_gap_ns,ratio,permitted_use,predicted_evidence_refs,observed_evidence_refs
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/attention/qk_matmul,MatMul,False,27997.029749843852,0.017724121338075143,17,D,resource-model,"[13998.514874921926,55994.059499687704]",serialized-resource-model-with-dispatch-floor-v1,34057.43087475153,0.017724121338075143,17,D,diagnostic-attribution,"[17028.715437375766,68114.86174950306]",scale-predicted-weights-to-observed-e2e,6060.401124907679,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/attention/scale,Mul,False,23830.47377725032,0.015086393540520429,23,D,resource-model,"[11915.23688862516,47660.94755450064]",serialized-resource-model-with-dispatch-floor-v1,28988.957779916218,0.015086393540520429,23,D,diagnostic-attribution,"[14494.478889958109,57977.915559832436]",scale-predicted-weights-to-observed-e2e,5158.484002665897,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/attention/softmax,Softmax,False,23830.47377725032,0.015086393540520429,24,D,resource-model,"[11915.23688862516,47660.94755450064]",serialized-resource-model-with-dispatch-floor-v1,28988.957779916218,0.015086393540520429,24,D,diagnostic-attribution,"[14494.478889958109,57977.915559832436]",scale-predicted-weights-to-observed-e2e,5158.484002665897,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/attention/v_proj,MatMul,False,27997.029749843852,0.017724121338075143,18,D,resource-model,"[13998.514874921926,55994.059499687704]",serialized-resource-model-with-dispatch-floor-v1,34057.43087475153,0.017724121338075143,18,D,diagnostic-attribution,"[17028.715437375766,68114.86174950306]",scale-predicted-weights-to-observed-e2e,6060.401124907679,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/attention/v_transpose,Transpose,False,15000.0,0.009496072349339484,46,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,18246.9879014263,0.009496072349339484,46,D,diagnostic-attribution,"[9123.49395071315,36493.9758028526]",scale-predicted-weights-to-observed-e2e,3246.987901426299,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/attention/v_view,View,False,15000.0,0.009496072349339484,47,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,18246.9879014263,0.009496072349339484,47,D,diagnostic-attribution,"[9123.49395071315,36493.9758028526]",scale-predicted-weights-to-observed-e2e,3246.987901426299,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/input_norm,RMSNorm,False,15000.0,0.009496072349339484,48,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,18246.9879014263,0.009496072349339484,48,D,diagnostic-attribution,"[9123.49395071315,36493.9758028526]",scale-predicted-weights-to-observed-e2e,3246.987901426299,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/mlp/down_proj,MatMul,True,111988.11899937541,0.07089648535230057,4,D,resource-model,"[55994.059499687704,223976.23799875082]",serialized-resource-model-with-dispatch-floor-v1,136229.72349900613,0.07089648535230057,4,D,diagnostic-attribution,"[68114.86174950306,272459.44699801225]",scale-predicted-weights-to-observed-e2e,24241.604499630717,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/mlp/gate_mul,Mul,False,17872.85533293774,0.011314795155390321,26,D,resource-model,"[8936.42766646887,35745.71066587548]",serialized-resource-model-with-dispatch-floor-v1,21741.718334937163,0.011314795155390321,26,D,diagnostic-attribution,"[10870.859167468581,43483.436669874325]",scale-predicted-weights-to-observed-e2e,3868.8630019994234,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/mlp/gate_proj,MatMul,True,111988.11899937541,0.07089648535230057,5,D,resource-model,"[55994.059499687704,223976.23799875082]",serialized-resource-model-with-dispatch-floor-v1,136229.72349900613,0.07089648535230057,5,D,diagnostic-attribution,"[68114.86174950306,272459.44699801225]",scale-predicted-weights-to-observed-e2e,24241.604499630717,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/mlp/silu,SiLU,False,15000.0,0.009496072349339484,49,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,18246.9879014263,0.009496072349339484,49,D,diagnostic-attribution,"[9123.49395071315,36493.9758028526]",scale-predicted-weights-to-observed-e2e,3246.987901426299,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/mlp/up_proj,MatMul,True,111988.11899937541,0.07089648535230057,6,D,resource-model,"[55994.059499687704,223976.23799875082]",serialized-resource-model-with-dispatch-floor-v1,136229.72349900613,0.07089648535230057,6,D,diagnostic-attribution,"[68114.86174950306,272459.44699801225]",scale-predicted-weights-to-observed-e2e,24241.604499630717,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/post_norm,RMSNorm,False,15000.0,0.009496072349339484,50,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,18246.9879014263,0.009496072349339484,50,D,diagnostic-attribution,"[9123.49395071315,36493.9758028526]",scale-predicted-weights-to-observed-e2e,3246.987901426299,1.2164658600950866,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]","[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue47-ascend-observed-decomposition-20260813-v1@sha256:8590bf91a159b0b2c0bb8ba25abaee1ab5180986c9c79a739cf589b68f21dfe7#observation/observed-decomposition.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]"
