stable_path,operation_class,selected_in_top10_union,predicted_time_ns,predicted_share_of_e2e,predicted_rank,predicted_evidence_grade,predicted_generation_stage,predicted_uncertainty_interval_ns,predicted_method,observed_time_ns,observed_share_of_e2e,observed_rank,observed_evidence_grade,observed_generation_stage,observed_uncertainty_interval_ns,observed_method,observed_measurement_status,absolute_gap_ns,ratio,permitted_use,predicted_evidence_refs,observed_evidence_refs
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/causal_mask,Add,False,25319.878388328463,0.016029293136802954,19,D,resource-model,"[12659.939194164232,50639.75677665693]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/context_matmul,MatMul,True,27997.029749843852,0.017724121338075143,7,D,resource-model,"[13998.514874921926,55994.059499687704]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/context_view,View,False,15000.0,0.009496072349339484,27,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/k_key_transpose,Transpose,False,15000.0,0.009496072349339484,28,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/k_proj,MatMul,True,27997.029749843852,0.017724121338075143,8,D,resource-model,"[13998.514874921926,55994.059499687704]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/k_transpose,Transpose,False,15000.0,0.009496072349339484,29,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/k_view,View,False,15000.0,0.009496072349339484,30,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/out_proj,MatMul,True,27997.029749843852,0.017724121338075143,9,D,resource-model,"[13998.514874921926,55994.059499687704]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/q_proj,MatMul,True,27997.029749843852,0.017724121338075143,10,D,resource-model,"[13998.514874921926,55994.059499687704]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/q_transpose,Transpose,False,15000.0,0.009496072349339484,31,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
